left_subset,right_subset,support,confidence
"(4,)","(2,)",0.2222222222222222,1.0
"(1,)","(2,)",0.4444444444444444,0.6666666666666666
"(2,)","(1,)",0.4444444444444444,0.5714285714285714
"(5,)","(1,)",0.2222222222222222,1.0
"(2,)","(3,)",0.4444444444444444,0.5714285714285714
"(3,)","(2,)",0.4444444444444444,0.6666666666666666
"(5,)","(2,)",0.2222222222222222,1.0
"(1,)","(3,)",0.4444444444444444,0.6666666666666666
"(3,)","(1,)",0.4444444444444444,0.6666666666666666
"(1, 2)","(3,)",0.2222222222222222,0.5
"(1, 3)","(2,)",0.2222222222222222,0.5
"(2, 3)","(1,)",0.2222222222222222,0.5
"(1, 2)","(5,)",0.2222222222222222,0.5
"(1, 5)","(2,)",0.2222222222222222,1.0
"(2, 5)","(1,)",0.2222222222222222,1.0
